,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Comparación
317,2019,2,Córdoba,775023,105,775128,7381.17
318,2019,2,Corrientes,111539,10,111549,11153.9
319,2019,2,Entre Ríos,235780,44,235824,5358.64
320,2019,2,Formosa,46438,0,46438,inf
321,2019,2,Jujuy,86706,1,86707,86706.0
322,2019,2,La Pampa,89937,268,90205,335.59
323,2019,2,La Rioja,50283,18,50301,2793.5
324,2019,2,Mendoza,222535,1,223857,222535.0
325,2019,2,Misiones,132878,0,132878,inf
326,2019,2,Neuquén,120954,1,122953,120954.0
327,2019,2,Río Negro,137632,915,138547,150.42
328,2019,2,Salta,142567,1,142568,142567.0
329,2019,2,San Juan,69461,564,70025,123.16
330,2019,2,San Luis,117094,291,117385,402.38
331,2019,2,Santa Cruz,30225,325,30550,93.0
332,2019,2,Santa Fe,743258,226,743484,3288.75
333,2019,2,Santiago Del Estero,126752,2,126754,63376.0
334,2019,2,Tierra Del Fuego,46910,544,47454,86.23
335,2019,2,Tucumán,166299,32,166331,5196.84
336,2019,1,Buenos Aires,3736563,10,3746667,373656.3
337,2019,1,Capital Federal,1396157,3,1399600,465385.67
338,2019,1,Catamarca,33613,9,33622,3734.78
339,2019,1,Chaco,103664,13,103677,7974.15
340,2019,1,Chubut,78260,1,79778,78260.0
341,2019,1,Córdoba,744010,105,744115,7085.81
342,2019,1,Corrientes,102477,10,102487,10247.7
343,2019,1,Entre Ríos,232403,44,232447,5281.89
344,2019,1,Formosa,45211,0,45211,inf
345,2019,1,Jujuy,90146,1,90147,90146.0
346,2019,1,La Pampa,88892,268,89160,331.69
347,2019,1,La Rioja,51638,18,51656,2868.78
348,2019,1,Mendoza,204976,1,206298,204976.0
349,2019,1,Misiones,122720,0,122720,inf
350,2019,1,Neuquén,112321,2,114377,56160.5
351,2019,1,Río Negro,120173,915,121088,131.34
352,2019,1,Salta,136019,1,136020,136019.0
353,2019,1,San Juan,61881,564,62445,109.72
354,2019,1,San Luis,96044,291,96335,330.05
