,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OtrasMediciones,TotalMediciones
73,2021,4,capital federal,563,1695,47133,81899,66135,66755,1147939,0.0,1412119
74,2021,4,catamarca,71,0,6038,7855,9804,3262,29827,2233.0,59090
75,2021,4,chaco,461,112,18845,22678,21937,13692,58435,7585.0,143745
76,2021,4,chubut,126,1294,63698,39568,31175,5780,2904,15763.0,160308
77,2021,4,córdoba,100,2479,184548,130892,76246,41198,538700,12607.0,986770
78,2021,4,corrientes,67,645,28830,26368,22922,10087,39911,7082.0,135912
79,2021,4,entre ríos,107,3024,56043,49636,38295,24068,77290,16583.0,265046
80,2021,4,formosa,84,0,22908,6983,6811,1135,13775,1967.0,53663
81,2021,4,jujuy,58,175,22446,16793,38134,564,33421,2324.0,113915
82,2021,4,la pampa,301,493,64840,9082,12259,4821,12184,3027.0,107007
83,2021,4,la rioja,18,1,5018,5437,23559,5671,43424,0.0,83128
84,2021,4,mendoza,156,1463,66428,30308,75214,18621,75031,366.0,267587
85,2021,4,misiones,51,5,41916,23554,26721,15954,54596,8335.0,171132
86,2021,4,neuquén,140,940,42313,13264,10515,3310,69217,7767.0,147466
87,2021,4,río negro,156,1174,38373,19878,31255,4130,36142,22645.0,153753
88,2021,4,salta,114,20,40673,69324,6642,3535,72622,6475.0,199405
89,2021,4,san juan,44,1442,28906,10955,23978,398,9800,4435.0,79958
90,2021,4,san luis,62,264,8550,4276,9107,67363,9,29218.0,118849
91,2021,4,santa cruz,52,297,20305,11641,13054,1770,876,491.0,48486
92,2021,4,santa fe,467,581,169706,206856,85690,62349,322015,18777.0,866441
93,2021,4,santiago del estero,178,909,31915,61524,12205,800,7537,793.0,115861
94,2021,4,tierra del fuego,26,385,13505,16534,16562,1748,1017,2580.0,52357
95,2021,4,tucumán,39,97,37321,48736,21023,5326,125857,240.0,238639
96,2021,3,buenos aires,37193,31149,1108940,248153,141383,192797,2482266,9728.0,4251609
97,2021,3,capital federal,295,603,156978,67013,39785,73502,1075229,0.0,1413405
98,2021,3,catamarca,71,0,6755,8428,10517,1659,26618,2206.0,56254
99,2021,3,chaco,301,112,22545,20986,23852,14412,49705,7958.0,139871
100,2021,3,chubut,104,105,89168,26281,18538,5320,1643,14907.0,156066
101,2021,3,córdoba,99,2452,204989,141285,65050,47198,476459,9256.0,946788
102,2021,3,corrientes,67,645,29629,28478,24792,9687,35468,5053.0,133819
103,2021,3,entre ríos,107,3024,61354,59776,39114,16284,67961,12755.0,260375
104,2021,3,formosa,381,0,22778,7142,6978,1192,12707,1617.0,52795
105,2021,3,jujuy,48,175,23884,16417,37755,561,29917,2401.0,111158
106,2021,3,la pampa,298,313,65063,7395,8737,4023,10506,4152.0,100487
107,2021,3,la rioja,18,1,5366,5979,23315,4868,42613,0.0,82160
108,2021,3,mendoza,36,31,151871,12640,62628,7596,21087,50.0,255939
