,Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija por cada 100 hab trimestre anterior + 2%,Diferencia habitantes,Porcentaje de diferencia habitantes,Accesos telefonía fija por cada 100 hogares trimestre anterior + 2%,Diferencia hogares,Porcentaje de diferencia hogares
803,2022,2,La Rioja,"6,72","25,23","6,61","-0,11","-1,64","24,82","-0,41","-6,1"
804,2022,2,Mendoza,"9,88","35,39","10,08","0,2","2,02","36,12","0,73","7,39"
805,2022,2,Misiones,"6,08","22,31","6,18","0,1","1,64","22,71","0,4","6,58"
806,2022,2,Neuquén,"11,79","39,6","12,32","0,53","4,5","41,4","1,8","15,27"
807,2022,2,Río Negro,"11,07","35,98","10,41","-0,66","-5,96","33,85","-2,13","-19,24"
808,2022,2,Salta,"6,34","26,16","6,29","-0,05","-0,79","25,98","-0,18","-2,84"
809,2022,2,San Juan,"9,59","37,64","9,75","0,16","1,67","38,29","0,65","6,78"
810,2022,2,San Luis,"6,78","23,69","6,9","0,12","1,77","24,09","0,4","5,9"
811,2022,2,Santa Cruz,"7,39","24,82","5,3","-2,09","-28,28","17,81","-7,01","-94,86"
812,2022,2,Santa Fe,"14,48","46,06","13,85","-0,63","-4,35","44,05","-2,01","-13,88"
813,2022,2,Santiago del Estero,"6,44","25,94","6,53","0,09","1,4","26,32","0,38","5,9"
814,2022,2,Tierra del Fuego,"12,46","42,04","12,64","0,18","1,44","42,63","0,59","4,74"
815,2022,2,Tucumán,"9,99","40,34","9,86","-0,13","-1,3","39,81","-0,53","-5,31"
816,2022,3,Buenos Aires,"19,48","58,81","19,48","0,0","0,0","58,81","0,0","0,0"
817,2022,3,Capital Federal,"54,48","131,46","54,48","0,0","0,0","131,46","0,0","0,0"
818,2022,3,Catamarca,"6,17","24,26","6,17","0,0","0,0","24,26","0,0","0,0"
819,2022,3,Chaco,"5,44","20,36","5,44","0,0","0,0","20,36","0,0","0,0"
820,2022,3,Chubut,"11,65","38,01","11,65","0,0","0,0","38,01","0,0","0,0"
821,2022,3,Córdoba,"12,56","41,03","12,56","0,0","0,0","41,03","0,0","0,0"
822,2022,3,Corrientes,"8,03","30,48","8,03","0,0","0,0","30,48","0,0","0,0"
823,2022,3,Entre Ríos,"11,34","37,92","11,34","0,0","0,0","37,92","0,0","0,0"
824,2022,3,Formosa,"5,82","22,86","5,82","0,0","0,0","22,86","0,0","0,0"
825,2022,3,Jujuy,"4,68","18,31","4,68","0,0","0,0","18,31","0,0","0,0"
826,2022,3,La Pampa,"19,51","59,23","19,51","0,0","0,0","59,23","0,0","0,0"
827,2022,3,La Rioja,"6,48","24,33","6,48","0,0","0,0","24,33","0,0","0,0"
828,2022,3,Mendoza,"9,88","35,41","9,88","0,0","0,0","35,41","0,0","0,0"
829,2022,3,Misiones,"6,06","22,26","6,06","0,0","0,0","22,26","0,0","0,0"
830,2022,3,Neuquén,"12,08","40,59","12,08","0,0","0,0","40,59","0,0","0,0"
831,2022,3,Río Negro,"10,21","33,19","10,21","0,0","0,0","33,19","0,0","0,0"
832,2022,3,Salta,"6,17","25,47","6,17","0,0","0,0","25,47","0,0","0,0"
833,2022,3,San Juan,"9,56","37,54","9,56","0,0","0,0","37,54","0,0","0,0"
834,2022,3,San Luis,"6,76","23,62","6,76","0,0","0,0","23,62","0,0","0,0"
835,2022,3,Santa Cruz,"5,2","17,46","5,2","0,0","0,0","17,46","0,0","0,0"
836,2022,3,Santa Fe,"13,58","43,19","13,58","0,0","0,0","43,19","0,0","0,0"
837,2022,3,Santiago del Estero,"6,4","25,8","6,4","0,0","0,0","25,8","0,0","0,0"
838,2022,3,Tierra del Fuego,"12,39","41,79","12,39","0,0","0,0","41,79","0,0","0,0"
839,2022,3,Tucumán,"9,67","39,03","9,67","0,0","0,0","39,03","0,0","0,0"
