Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares trimestre anterior + 2%,Diferencia,Porcentaje de diferencia
2018,2,Entre Ríos,"49,2","49,65","0,45","0,91"
2018,2,Formosa,"29,43","21,83","-7,6","-25,82"
2018,2,Jujuy,"23,43","23,58","0,15","0,64"
2018,2,La Pampa,"71,04","73,18","2,14","3,01"
2018,2,La Rioja,"50,98","52,47","1,49","2,92"
2018,2,Mendoza,"36,97","37,81","0,84","2,27"
2018,2,Misiones,"31,63","31,58","-0,05","-0,16"
2018,2,Neuquén,"60,24","62,75","2,51","4,17"
2018,2,Río Negro,"50,15","50,82","0,67","1,34"
2018,2,Salta,"39,94","40,58","0,64","1,6"
2018,2,San Juan,"32,95","33,26","0,31","0,94"
2018,2,San Luis,"15,15","15,45","0,3","1,98"
2018,2,Santa Cruz,"33,33","34,22","0,89","2,67"
2018,2,Santa Fe,"62,57","63,53","0,96","1,53"
2018,2,Santiago Del Estero,"35,26","35,69","0,43","1,22"
2018,2,Tierra Del Fuego,"91,61","66,5","-25,11","-27,41"
2018,2,Tucumán,"41,51","42,0","0,49","1,18"
2018,1,Buenos Aires,"62,63","58,76","-3,87","-6,18"
2018,1,Capital Federal,"106,24","125,36","19,12","18,0"
2018,1,Catamarca,"32,79","29,19","-3,6","-10,98"
2018,1,Chaco,"30,83","31,43","0,6","1,95"
2018,1,Chubut,"53,72","52,49","-1,23","-2,29"
2018,1,Córdoba,"63,52","64,6","1,08","1,7"
2018,1,Corrientes,"32,66","33,17","0,51","1,56"
2018,1,Entre Ríos,"48,68","48,85","0,17","0,35"
2018,1,Formosa,"21,4","21,7","0,3","1,4"
2018,1,Jujuy,"23,12","23,19","0,07","0,3"
2018,1,La Pampa,"71,75","72,47","0,72","1,0"
2018,1,La Rioja,"51,44","52,6","1,16","2,26"
2018,1,Mendoza,"37,07","34,0","-3,07","-8,28"
2018,1,Misiones,"30,96","31,76","0,8","2,58"
2018,1,Neuquén,"61,52","62,46","0,94","1,53"
2018,1,Río Negro,"49,82","50,37","0,55","1,1"
2018,1,Salta,"39,78","40,6","0,82","2,06"
2018,1,San Juan,"32,61","30,91","-1,7","-5,21"
2018,1,San Luis,"15,15","10,8","-4,35","-28,71"
2018,1,Santa Cruz,"33,55","29,49","-4,06","-12,1"
2018,1,Santa Fe,"62,28","62,94","0,66","1,06"
2018,1,Santiago Del Estero,"34,99","29,71","-5,28","-15,09"
2018,1,Tierra Del Fuego,"65,2","61,09","-4,11","-6,3"
2018,1,Tucumán,"41,18","40,7","-0,48","-1,17"
2017,4,Buenos Aires,"57,61","56,74","-0,87","-1,51"
2017,4,Capital Federal,"122,9","124,3","1,4","1,14"
