,Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
716,CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,140.791,1.240.125,2.145,129.218,29.585,57,- 0,5.758,1.547.679
717,CATAMARCA,Ambato,El Bolsón,10007030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
718,CATAMARCA,Ambato,El Rodeo,10007040,- 0,- 0,- 0,- 0,- 0,1,- 0,152,153
719,CATAMARCA,Ambato,La Puerta,10007060,- 0,- 0,- 0,- 0,- 0,5,- 0,- 0,5
720,CATAMARCA,Ambato,Las Chacritas,10007070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
721,CATAMARCA,Ambato,Los Varela,10007110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
722,CATAMARCA,Ambato,Los Talas,10007100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,66,66
723,CATAMARCA,Ancasti,Ancasti,10014010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
724,CATAMARCA,Andalgalá,Andalgalá,10021020,846,- 0,- 0,144,1,2,- 0,203,1.196
725,CATAMARCA,Andalgalá,Chaquiago,10021030,- 0,- 0,- 0,9,- 0,1,- 0,14,24
726,CATAMARCA,Andalgalá,El Potrero,10021070,- 0,- 0,- 0,13,- 0,- 0,- 0,- 0,13
727,CATAMARCA,Andalgalá,Aconquija,10021010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
728,CATAMARCA,Andalgalá,El Alamito,10021050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20
729,CATAMARCA,Andalgalá,La Aguada,10021080,- 0,- 0,- 0,11,- 0,- 0,- 0,5,16
730,CATAMARCA,Andalgalá,La Mesada,10021010,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1
731,CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6
732,CATAMARCA,Belén,Belén,10035020,- 0,- 0,- 0,- 0,- 0,4,- 0,- 0,4
733,CATAMARCA,Belén,Hualfín,10035070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
734,CATAMARCA,Belén,Londres,10035110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
735,CATAMARCA,Belén,El Durazno,10035050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
736,CATAMARCA,Belén,Las Juntas,10035100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5
737,CATAMARCA,Belén,Puerta de San José,10035140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
738,CATAMARCA,Capayán,Capayán,10042030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
739,CATAMARCA,Capayán,Chumbicha,10042040,150,- 0,- 0,5,- 0,1,- 0,474,630
740,CATAMARCA,Capayán,Colonia del Valle,10042050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
741,CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,- 0,- 0,- 0,10,- 0,1,- 0,9,20
742,CATAMARCA,Capayán,Coneta,10042080,- 0,- 0,- 0,10,- 0,1,- 0,- 0,11
743,CATAMARCA,Capayán,Huillapima,10042100,- 0,- 0,- 0,5,- 0,2,- 0,9,16
744,CATAMARCA,Capayán,Miraflores,10042120,- 0,- 0,- 0,7,- 0,2,- 0,10,19
745,CATAMARCA,Capayán,San Martín,10042130,- 0,- 0,- 0,- 0,- 0,7,- 0,- 0,7
746,CATAMARCA,Capayán,Los Angeles,10042110,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5
747,CATAMARCA,Capital,El Pantanillo,10049020,11,13,- 0,2,- 0,2,- 0,- 0,28
748,CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,8.238,10.473,1,38.963,- 0,1,- 0,14,57.690
749,CATAMARCA,El Alto,El Alto,10056010,- 0,- 0,- 0,- 0,- 0,1,- 0,28,29
750,CATAMARCA,El Alto,Tapso,10056050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
751,CATAMARCA,La Paz,Icaño,10070070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
752,CATAMARCA,La Paz,Recreo,10070140,183,9,- 0,1.619,- 0,1,- 0,5,1.817
753,CATAMARCA,La Paz,San Antonio,10070150,- 0,- 0,- 0,- 0,- 0,- 0,- 0,26,26
754,CATAMARCA,La Paz,Quirós,10070120,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27
755,CATAMARCA,Paclín,La Merced,10077050,72,- 0,- 0,- 0,- 0,4,- 0,5,81
756,CATAMARCA,Paclín,La Viña,10077060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10
757,CATAMARCA,Paclín,Las Lajas,10077070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
758,CATAMARCA,Paclín,San Antonio,10077100,- 0,- 0,- 0,- 0,- 0,1,- 0,7,8
759,CATAMARCA,Pomán,Mutquin,10084060,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
760,CATAMARCA,Pomán,Pomán,10084070,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
761,CATAMARCA,Pomán,San Miguel,10084090,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7
762,CATAMARCA,Pomán,Saujil,10084100,- 0,- 0,- 0,- 0,- 0,1,- 0,169,170
763,CATAMARCA,Pomán,Siján,10084110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
764,CATAMARCA,Pomán,Colpes,10084030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16
765,CATAMARCA,Santa María,La Loma,10091100,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
766,CATAMARCA,Santa María,San José,10091140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
767,CATAMARCA,Santa María,Santa María,10091150,- 0,- 0,- 0,- 0,2.151,1,- 0,- 0,2.152
768,CATAMARCA,Santa Rosa,Alijilán,10098010,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
769,CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
770,CATAMARCA,Santa Rosa,Lavalle,10098040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
771,CATAMARCA,Santa Rosa,Los Altos,10098050,- 0,- 0,- 0,- 0,- 0,1,- 0,6,7
772,CATAMARCA,Tinogasta,Fiambalá,10105110,- 0,- 0,- 0,8,- 0,2,- 0,7,17
773,CATAMARCA,Tinogasta,Tinogasta,10105180,510,- 0,- 0,1.828,- 0,2,- 0,- 0,2.340
774,CATAMARCA,Valle Viejo,El Portezuelo,10112010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6
775,CATAMARCA,Valle Viejo,San Isidro,10112040,- 0,- 0,- 0,2.457,- 0,- 0,- 0,5,2.462
776,CATAMARCA,Valle Viejo,Santa Rosa,10112030,- 0,- 0,- 0,759,- 0,- 0,- 0,5,764
777,CATAMARCA,Valle Viejo,Villa Dolores,10112030,- 0,- 0,- 0,103,- 0,- 0,- 0,5,108
778,CATAMARCA,Valle Viejo,Sumalao,10112030,- 0,- 0,- 0,1,- 0,- 0,- 0,5,6
779,CATAMARCA,Valle Viejo,Polcos,10112030,- 0,- 0,- 0,213,- 0,- 0,- 0,- 0,213
780,CATAMARCA,Valle Viejo,Pozo Del Mistol,10112030,- 0,- 0,- 0,18,- 0,- 0,- 0,- 0,18
781,CATAMARCA,Valle Viejo,El Bañado,10112030,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7
782,CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4
783,CATAMARCA,Fray Mamerto Esquiú,San José,10063040,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1
784,CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
785,CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
786,CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,- 0,- 0,- 0,26,- 0,- 0,- 0,- 0,26
787,CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5
788,CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5
789,CHACO,12 de Octubre,Gancedo,22036010,- 0,- 0,- 0,26,- 0,2,- 0,76,104
790,CHACO,12 de Octubre,General Pinedo,22036030,195,- 0,- 0,472,- 0,2,- 0,- 0,669
791,CHACO,1º de Mayo,Colonia Benítez,22126020,153,- 0,- 0,11,- 0,1,- 0,2,167
792,CHACO,1º de Mayo,Margarita Belén,22126030,382,- 0,- 0,180,- 0,- 0,- 0,77,639
793,CHACO,2 de Abril,Hermoso Campo,22039010,- 0,28,- 0,175,- 0,1,- 0,- 0,204
794,CHACO,2 de Abril,Itín,22039020,- 0,- 0,- 0,30,478,- 0,- 0,- 0,508
795,CHACO,25 de Mayo,Colonia Aborigen,22168010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,46,46
796,CHACO,25 de Mayo,Machagai,22168020,369,311,- 0,45,- 0,- 0,- 0,269,994
797,CHACO,9 de Julio,Las Breñas,22105010,1.293,- 0,- 0,74,- 0,1,- 0,- 0,1.368
798,CHACO,Almirante Brown,Concepción del Bermejo,22007010,- 0,- 0,- 0,373,- 0,2,- 0,230,605
799,CHACO,Almirante Brown,Los Frentones,22007020,- 0,- 0,- 0,344,- 0,1,- 0,- 0,345
800,CHACO,Almirante Brown,Pampa del Infierno,22007030,- 0,- 0,- 0,1.375,- 0,6,- 0,65,1.446
801,CHACO,Almirante Brown,Taco Pozo,22007050,- 0,- 0,- 0,332,- 0,3,- 0,- 0,335
802,CHACO,Bermejo,General Vedia,22014010,153,- 0,- 0,30,- 0,1,- 0,205,389
803,CHACO,Bermejo,Isla del Cerrito,22014020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
804,CHACO,Bermejo,La Leonesa,22014030,556,- 0,- 0,- 0,- 0,- 0,- 0,228,784
805,CHACO,Bermejo,Las Palmas,22014040,- 0,- 0,- 0,46,- 0,1,- 0,306,353
806,CHACO,Bermejo,Puerto Bermejo Nuevo,22014050,- 0,- 0,- 0,14,- 0,- 0,- 0,51,65
807,CHACO,Bermejo,Puerto Eva Perón,22014070,- 0,- 0,- 0,15,- 0,1,- 0,41,57
808,CHACO,Chacabuco,Charata,22028010,1.924,- 0,- 0,1.186,- 0,2,- 0,230,3.342
809,CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,22021010,3.559,112,- 0,5.972,24,2,- 0,116,9.785
810,CHACO,Fray Justo Santa María De Oro,Chorotis,22043010,- 0,- 0,- 0,- 0,25,- 0,- 0,- 0,25
811,CHACO,Fray Justo Santa María De Oro,OTROS,Sin Datos,- 0,- 0,- 0,- 0,60,- 0,- 0,- 0,60
812,CHACO,Fray Justo Santa María De Oro,Santa Sylvina,22043020,- 0,32,- 0,- 0,950,1,- 0,- 0,983
813,CHACO,General Belgrano,Corzuela,22049010,161,- 0,- 0,48,- 0,1,- 0,28,238
814,CHACO,General Donovan,La Escondida,22056010,51,209,- 0,189,- 0,2,- 0,- 0,451
815,CHACO,General Donovan,La Verde,22056020,14,27,- 0,39,305,2,- 0,- 0,387
816,CHACO,General Donovan,Lapachito,22056030,1,27,- 0,61,- 0,- 0,- 0,- 0,89
817,CHACO,General Donovan,Makallé,22056040,38,370,- 0,- 0,- 0,1,- 0,- 0,409
818,CHACO,General Güemes,El Espinillo,22063010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
819,CHACO,General Güemes,El Sauzal,22063020,- 0,- 0,- 0,- 0,- 0,1,- 0,62,63
820,CHACO,General Güemes,El Sauzalito,22063030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
821,CHACO,General Güemes,Fortín Lavalle,22063040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,36,36
822,CHACO,General Güemes,Fuerte Esperanza,22063050,- 0,- 0,- 0,8,- 0,1,- 0,- 0,9
823,CHACO,General Güemes,Juan José Castelli,22063060,599,- 0,- 0,294,- 0,- 0,- 0,690,1.583
824,CHACO,General Güemes,Miraflores,22063070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,630,630
825,CHACO,General Güemes,Nueva Pompeya,22063080,- 0,- 0,- 0,1,- 0,3,- 0,308,312
826,CHACO,General Güemes,Villa Río Bermejito,22063100,4,- 0,- 0,194,- 0,2,- 0,222,422
827,CHACO,General Güemes,Wichi,22063110,- 0,- 0,- 0,- 0,- 0,1,- 0,91,92
828,CHACO,Independencia,Avia Terai,22070010,85,- 0,- 0,42,- 0,1,- 0,- 0,128
829,CHACO,Independencia,Campo Largo,22070020,125,- 0,- 0,482,3,- 0,- 0,- 0,610
830,CHACO,Libertad,Laguna Blanca,22077030,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
831,CHACO,Libertad,Puerto Tirol,22077040,541,1,- 0,114,- 0,- 0,- 0,163,819
832,CHACO,Libertador General San Martín,Ciervo Petiso,22084010,- 0,- 0,- 0,- 0,- 0,1,- 0,97,98
833,CHACO,Libertador General San Martín,General José de San Martín,22084020,511,1.130,- 0,5.083,- 0,- 0,- 0,450,7.174
834,CHACO,Libertador General San Martín,La Eduvigis,22084030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
835,CHACO,Libertador General San Martín,Laguna Limpia,22084040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,32,32
836,CHACO,Libertador General San Martín,Pampa Almirón,22084050,- 0,- 0,- 0,26,- 0,- 0,- 0,55,81
837,CHACO,Libertador General San Martín,Pampa del Indio,22084060,- 0,- 0,- 0,25,- 0,2,- 0,757,784
838,CHACO,Libertador General San Martín,Presidencia Roca,22084070,- 0,- 0,- 0,13,- 0,2,- 0,196,211
839,CHACO,Maipú,Tres Isletas,22091010,461,- 0,- 0,- 0,- 0,- 0,- 0,77,538
840,CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,122,73,- 0,264,- 0,1,- 0,516,976
841,CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,- 0,- 0,- 0,37,- 0,1,- 0,- 0,38
842,CHACO,Mayor Luis J. Fontana,Villa Angela,22098030,2.756,1,- 0,852,- 0,- 0,- 0,406,4.015
843,CHACO,O Higgins,La Clotilde,22112010,- 0,32,- 0,78,116,1,- 0,- 0,227
844,CHACO,O Higgins,La Tigra,22112020,1,- 0,- 0,- 0,252,1,- 0,- 0,254
845,CHACO,O Higgins,San Bernardo,22112030,147,- 0,- 0,14,38,3,- 0,- 0,202
846,CHACO,OTROS,OTROS,Sin Datos,- 0,- 0,- 0,- 0,24,- 0,- 0,- 0,24
847,CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010,216,327,- 0,58,- 0,- 0,- 0,- 0,601
848,CHACO,Quitilipi,Quitilipi,22133010,884,- 0,- 0,69,- 0,- 0,- 0,123,1.076
849,CHACO,Quitilipi,Villa El Palmar,22133020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,43,43
850,CHACO,San Fernando,Barranqueras,22140010,115,3.865,- 0,146,- 0,- 0,- 0,15,4.141
851,CHACO,San Fernando,Basail,22140020,98,67,- 0,- 0,- 0,1,- 0,57,223
852,CHACO,San Fernando,Fontana,22140040,- 0,- 0,- 0,110,- 0,- 0,- 0,70,180
853,CHACO,San Fernando,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,3,- 0,- 0,3
854,CHACO,San Fernando,Puerto Vilelas,22140050,- 0,- 0,- 0,9,- 0,1,- 0,- 0,10
855,CHACO,San Fernando,Resistencia,22140060,11.650,55.188,5,25.299,2,6,- 0,223,92.373
856,CHACO,San Lorenzo,Samuhú,22147010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
857,CHACO,San Lorenzo,Villa Berthet,22147020,- 0,- 0,- 0,32,- 0,1,- 0,755,788
858,CHACO,Sargento Cabral,Capitán Solari,22154010,- 0,- 0,- 0,81,- 0,- 0,- 0,- 0,81
859,CHACO,Sargento Cabral,Colonia Elisa,22154020,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
860,CHACO,Sargento Cabral,Colonias Unidas,22154030,- 0,- 0,- 0,250,- 0,- 0,- 0,15,265
861,CHACO,Sargento Cabral,Las Garcitas,22154050,- 0,- 0,- 0,- 0,- 0,1,- 0,119,120
862,CHACO,Tapenagá,Charadai,22161010,- 0,- 0,- 0,27,- 0,1,- 0,- 0,28
863,CHUBUT,Biedma,Arroyo Verde,26007010,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
864,CHUBUT,Biedma,Puerto Madryn,26007020,3.648,24.433,200,3.781,5.283,9,- 0,2.762,40.116
865,CHUBUT,Biedma,Puerto Pirámide,26007030,- 0,- 0,- 0,- 0,- 0,1,- 0,37,38
866,CHUBUT,Biedma,Quinta El Mirador,26007040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,22,22
867,CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,127,127
868,CHUBUT,Cushamen,Cholila,26014020,- 0,- 0,1,- 0,- 0,1,- 0,- 0,2
869,CHUBUT,Cushamen,El Hoyo,26014040,216,- 0,- 0,319,- 0,- 0,- 0,709,1.244
870,CHUBUT,Cushamen,Epuyén,26014060,1.184,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.184
871,CHUBUT,Cushamen,Gualjaina,26014070,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
872,CHUBUT,Cushamen,Lago Puelo,26014090,315,- 0,- 0,59,- 0,- 0,- 0,723,1.097
873,CHUBUT,Cushamen,Leleque,26014100,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
874,CHUBUT,Cushamen,El Maitén,26014050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1
875,CHUBUT,Escalante,Comodoro Rivadavia,26021030,19.602,12.473,248,1.739,336,37,- 0,16.749,51.184
876,CHUBUT,Escalante,Diadema Argentina,26021040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,311,311
877,CHUBUT,Escalante,Rada Tilly,26021050,1.143,1,34,1.206,54,- 0,- 0,443,2.881
878,CHUBUT,Escalante,Acceso Norte,26021020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
879,CHUBUT,Escalante,Barrio Caleta Cordova,26021020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
880,CHUBUT,Florentino Ameghino,Camarones,26028010,- 0,- 0,- 0,- 0,- 0,1,- 0,208,209
881,CHUBUT,Florentino Ameghino,Garayalde,26028020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3,3
882,CHUBUT,Futaleufú,Corcovado,26035020,- 0,- 0,1,- 0,- 0,5,- 0,- 0,6
883,CHUBUT,Futaleufú,Esquel,26035030,7.142,1.522,40,- 0,- 0,2,- 0,4.527,13.233
884,CHUBUT,Futaleufú,Los Cipreses,26035050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
885,CHUBUT,Futaleufú,Trevelín,26035060,472,- 0,19,- 0,18,1,- 0,562,1.072
886,CHUBUT,Futaleufú,Villa Futalaufquen,26035070,- 0,- 0,- 0,- 0,- 0,5,- 0,- 0,5
887,CHUBUT,Futaleufú,Aldea Escolar,26035010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
888,CHUBUT,Futaleufú,Lago Rosario,26035040,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
889,CHUBUT,Gaiman,28 de Julio,26042040,- 0,- 0,- 0,12,1,1,- 0,- 0,14
890,CHUBUT,Gaiman,Dolavon,26042020,- 0,- 0,3,55,50,1,- 0,- 0,109
891,CHUBUT,Gaiman,Gaiman,26042030,223,- 0,15,90,658,2,- 0,- 0,988
892,CHUBUT,Gaiman,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,14,- 0,- 0,14
893,CHUBUT,Gastre,Blancuntre,26049010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
894,CHUBUT,Gastre,El Escorial,26049020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
895,CHUBUT,Gastre,Lagunita Salada,26049040,- 0,- 0,- 0,- 0,- 0,1,- 0,7,8
896,CHUBUT,Gastre,Yala Laubat,26049050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
897,CHUBUT,Gastre,Gastre,26049030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,103,103
898,CHUBUT,Languiñeo,Aldea Epulef,26056010,- 0,- 0,- 0,- 0,- 0,1,- 0,5,6
899,CHUBUT,Languiñeo,Carrenleufú,26056020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
900,CHUBUT,Languiñeo,Colan Conhue,26056030,- 0,- 0,- 0,- 0,- 0,1,- 0,4,5
901,CHUBUT,Languiñeo,Paso del Sapo,26056040,- 0,- 0,- 0,- 0,- 0,2,- 0,30,32
902,CHUBUT,Languiñeo,Tecka,26056050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
903,CHUBUT,Mártires,El Mirasol,26063010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
904,CHUBUT,Mártires,Las Plumas,26063020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
905,CHUBUT,Paso de Indios,Cerro Cóndor,26070010,- 0,1,- 0,- 0,- 0,1,- 0,- 0,2
906,CHUBUT,Paso de Indios,Los Altares,26070020,- 0,- 0,- 0,- 0,- 0,1,- 0,1,2
907,CHUBUT,Paso de Indios,Paso de Indios,26070030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
908,CHUBUT,Rawson,Playa Unión,26077020,675,209,12,101,1,- 0,- 0,421,1.419
909,CHUBUT,Rawson,Rawson,26077030,1.747,8.805,41,774,300,1,- 0,343,12.011
910,CHUBUT,Rawson,Trelew,26077040,6.877,23.051,287,722,1.094,3,- 0,1.130,33.164
911,CHUBUT,Rawson,Playa Magagna,26077010,- 0,1.700,- 0,- 0,- 0,- 0,- 0,3,1.703
912,CHUBUT,Río Senguer,Aldea Apeleg,26084010,- 0,- 0,- 0,- 0,- 0,1,- 0,1,2
913,CHUBUT,Río Senguer,Aldea Beleiro,26084020,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2
914,CHUBUT,Río Senguer,Alto Río Senguer,26084030,- 0,- 0,1,- 0,- 0,2,- 0,1,4
915,CHUBUT,Río Senguer,Doctor Ricardo Rojas,26084040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
916,CHUBUT,Río Senguer,Facundo,26084050,- 0,- 0,- 0,- 0,- 0,1,- 0,41,42
917,CHUBUT,Río Senguer,Lago Blanco,26084060,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
918,CHUBUT,Río Senguer,Río Mayo,26084070,- 0,- 0,- 0,4,- 0,2,- 0,180,186
919,CHUBUT,Sarmiento,Buen Pasto,26091010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
920,CHUBUT,Sarmiento,SARMIENTO,26091020,2.133,1,- 0,712,- 0,1,- 0,277,3.124
921,CHUBUT,Tehuelches,Gobernador Costa,26098020,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,1
922,CHUBUT,Tehuelches,José de San Martín,26098030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1
923,CHUBUT,Tehuelches,Río Pico,26098040,- 0,- 0,1,- 0,- 0,2,- 0,- 0,3
924,CHUBUT,Telsen,Gan Gan,26105010,- 0,- 0,- 0,- 0,1,1,- 0,11,13
925,CHUBUT,Telsen,Telsen,26105020,- 0,16,- 0,- 0,- 0,4,- 0,42,62
926,CORDOBA,Calamuchita,Amboy,14007010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,19,19
927,CORDOBA,Calamuchita,Cañada del Sauce,14007030,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1
928,CORDOBA,Calamuchita,Capilla Vieja,14007040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5
929,CORDOBA,Calamuchita,El Corcovado - El Torreón,14007050,52,- 0,- 0,- 0,- 0,- 0,- 0,30,82
930,CORDOBA,Calamuchita,Embalse,14007060,- 0,- 0,- 0,1.467,- 0,1,- 0,1.877,3.345
931,CORDOBA,Calamuchita,La Cruz,14007070,13,- 0,- 0,- 0,- 0,- 0,- 0,362,375
932,CORDOBA,Calamuchita,La Cumbrecita,14007080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,250,250
933,CORDOBA,Calamuchita,Las Bajadas,14007090,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16
934,CORDOBA,Calamuchita,Los Cóndores,14007110,423,- 0,- 0,- 0,- 0,1,- 0,507,931
935,CORDOBA,Calamuchita,Los Molinos,14007120,- 0,- 0,- 0,- 0,- 0,- 0,- 0,42,42
936,CORDOBA,Calamuchita,Los Reartes,14007130,30,- 0,- 0,342,- 0,1,- 0,375,748
937,CORDOBA,Calamuchita,Parque Calmayo,14007160,- 0,- 0,- 0,- 0,- 0,- 0,- 0,36,36
938,CORDOBA,Calamuchita,San Agustín,14007180,110,- 0,- 0,- 0,- 0,- 0,- 0,1,111
939,CORDOBA,Calamuchita,San Ignacio (Loteo San Javier),14007190,- 0,- 0,- 0,- 0,- 0,- 0,- 0,11,11
940,CORDOBA,Calamuchita,Santa Rosa de Calamuchita,14007210,1.355,815,- 0,119,- 0,- 0,- 0,3.079,5.368
941,CORDOBA,Calamuchita,Villa Alpina,14007240,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2
942,CORDOBA,Calamuchita,Villa Amancay,14007250,- 0,- 0,- 0,- 0,- 0,- 0,- 0,39,39
943,CORDOBA,Calamuchita,Villa Berna,14007260,31,- 0,- 0,- 0,- 0,- 0,- 0,6,37
944,CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (1a. Sección),14007270,- 0,- 0,- 0,- 0,- 0,- 0,- 0,219,219
945,CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (3a. Sección),14007170,- 0,- 0,- 0,- 0,- 0,- 0,- 0,8,8
946,CORDOBA,Calamuchita,Villa del Dique,14007290,555,- 0,- 0,256,128,- 0,- 0,866,1.805
947,CORDOBA,Calamuchita,Villa General Belgrano,14007310,- 0,31,- 0,- 0,- 0,1,- 0,1.129,1.161
948,CORDOBA,Calamuchita,Villa Quillinzo,14007330,- 0,- 0,- 0,- 0,- 0,- 0,- 0,84,84
949,CORDOBA,Calamuchita,Villa Rumipal,14007340,- 0,- 0,- 0,43,- 0,- 0,- 0,937,980
950,CORDOBA,Calamuchita,Villa San Miguel,14007170,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5
951,CORDOBA,Calamuchita,Villa Yacanto,14007360,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7
952,CORDOBA,Calamuchita,Las Caleras,14007100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7
953,CORDOBA,Calamuchita,San Ignacio (Loteo Vélez Crespo),14007170,- 0,- 0,- 0,- 0,- 0,- 0,- 0,9,9
954,CORDOBA,Calamuchita,Segunda Usina,14007220,- 0,- 0,- 0,- 0,- 0,- 0,- 0,61,61
955,CORDOBA,Calamuchita,Río de los Sauces,14007170,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1
