Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Trenque Lauquen,La Carreta,6826030,No,No,No,No,No,No,No,2,2
BUENOS AIRES,Trenque Lauquen,Trongé,6826060,No,No,No,No,No,No,No,2,2
BUENOS AIRES,Trenque Lauquen,Berutti,6826010,No,No,No,282,No,No,No,No,282
BUENOS AIRES,Tres Arroyos,Claromecó,6833020,329,No,No,595,No,No,No,734,1.658
BUENOS AIRES,Tres Arroyos,Copetonas,6833030,No,No,No,1,No,No,No,89,90
BUENOS AIRES,Tres Arroyos,Lin Calel,6833040,No,No,No,No,No,No,No,11,11
BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),6833050,No,No,No,1,No,No,No,155,156
BUENOS AIRES,Tres Arroyos,Orense,6833060,No,No,1,246,407,No,No,146,800
BUENOS AIRES,Tres Arroyos,Reta,6833070,No,No,No,No,No,No,No,224,224
BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,6833080,No,No,No,No,No,No,No,120,120
BUENOS AIRES,Tres Arroyos,San Mayol,6833090,No,No,No,No,9,No,No,11,20
BUENOS AIRES,Tres Arroyos,Tres Arroyos,6833100,1.352,14.525,61,1.513,61,1,No,903,18.416
BUENOS AIRES,Tres De Febrero,11 De Septiembre,6840010,34,1.181,No,5,1,1,No,No,1.222
BUENOS AIRES,Tres De Febrero,Caseros,6840010,3.191,22.642,2,8.778,25,No,No,2,34.640
BUENOS AIRES,Tres De Febrero,Churruca,6840010,14,834,No,1.543,No,No,No,No,2.391
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,550,5.184,No,811,2,No,No,No,6.547
BUENOS AIRES,Tres De Febrero,Ciudadela,6840010,314,11.567,67,14.121,117,3,No,4,26.193
BUENOS AIRES,Tres De Febrero,El Libertador,6840010,189,2.533,No,No,No,No,No,No,2.722
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,141,1.877,No,546,3,No,No,5,2.572
BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,1.210,5.544,No,52,18,No,No,No,6.824
BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,218,4.982,1,2.601,6,No,No,No,7.808
BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,1.568,3.358,No,7,12,No,No,438,5.383
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,159,2.717,No,7.814,16,No,No,No,10.706
BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,312,4.995,No,954,No,1,No,1,6.263
BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,366,6.158,No,1.313,8,No,No,1,7.846
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,299,7.132,No,5.788,3,No,No,No,13.222
BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,141,2.022,No,654,3,No,No,No,2.820
BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,93,724,1,136,319,No,No,94,1.367
BUENOS AIRES,Vicente López,Carapachay,6861010,966,5.363,1,2.051,2,No,No,No,8.383
BUENOS AIRES,Vicente López,Florida,6861010,1.400,14.599,2,6.370,6,No,No,2,22.379
BUENOS AIRES,Vicente López,Florida Oeste,6861010,334,5.468,No,3.171,5,1,No,245,9.224
BUENOS AIRES,Vicente López,La Lucila,6861010,336,4.208,1,1.257,1,No,No,No,5.803
BUENOS AIRES,Vicente López,Munro,6861010,687,9.186,8,5.621,10,1,No,1,15.514
BUENOS AIRES,Vicente López,Olivos,6861010,1.468,24.218,5,9.253,10,1,No,No,34.955
BUENOS AIRES,Vicente López,Vicente López,6861010,338,9.861,3,3.218,17,No,No,1,13.438
BUENOS AIRES,Vicente López,Villa Adelina,6861010,No,566,No,1.036,No,No,No,No,1.602
BUENOS AIRES,Vicente López,Villa Martelli,6861010,987,5.325,1,4.905,3,1,No,375,11.597
BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,5.967,No,No,5.036,91,No,No,No,11.094
BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,No,No,2,No,No,No,No,82,84
BUENOS AIRES,Villarino,Mayor Buratovich,6875050,129,No,No,483,No,No,No,No,612
BUENOS AIRES,Villarino,Médanos,6875060,417,375,2,No,No,No,No,103,897
BUENOS AIRES,Villarino,Pedro Luro,6875070,393,582,No,1.664,1,No,No,550,3.190
BUENOS AIRES,Villarino,Argerich,6875010,No,No,No,No,No,No,No,29,29
BUENOS AIRES,Villarino,Teniente Origone,6875080,No,No,No,No,No,No,No,16,16
BUENOS AIRES,Villarino,Country Los Medanos,6875025,No,No,No,No,No,No,No,267,267
BUENOS AIRES,Zárate,Lima,6882040,1,1.833,No,1,No,2,No,No,1.837
BUENOS AIRES,Zárate,Zárate,6882050,2.447,24.539,No,78,700,5,No,982,28.751
BUENOS AIRES,AMBA,OTROS,Sin Datos,No,No,No,35,No,No,No,13,48
CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,140.791,1.240.125,2.145,129.218,29.585,57,No,5.758,1.547.679
CATAMARCA,Ambato,El Bolsón,10007030,No,No,No,No,No,1,No,No,1
CATAMARCA,Ambato,El Rodeo,10007040,No,No,No,No,No,1,No,152,153
CATAMARCA,Ambato,La Puerta,10007060,No,No,No,No,No,5,No,No,5
CATAMARCA,Ambato,Las Chacritas,10007070,No,No,No,No,No,1,No,No,1
CATAMARCA,Ambato,Los Varela,10007110,No,No,No,No,No,1,No,No,1
CATAMARCA,Ambato,Los Talas,10007100,No,No,No,No,No,No,No,66,66
CATAMARCA,Ancasti,Ancasti,10014010,No,No,No,No,No,1,No,No,1
CATAMARCA,Andalgalá,Andalgalá,10021020,846,No,No,144,1,2,No,203,1.196
CATAMARCA,Andalgalá,Chaquiago,10021030,No,No,No,9,No,1,No,14,24
CATAMARCA,Andalgalá,El Potrero,10021070,No,No,No,13,No,No,No,No,13
CATAMARCA,Andalgalá,Aconquija,10021010,No,No,No,No,No,1,No,No,1
CATAMARCA,Andalgalá,El Alamito,10021050,No,No,No,No,No,No,No,20,20
CATAMARCA,Andalgalá,La Aguada,10021080,No,No,No,11,No,No,No,5,16
CATAMARCA,Andalgalá,La Mesada,10021010,No,No,No,1,No,No,No,No,1
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,No,No,No,No,No,6,No,No,6
CATAMARCA,Belén,Belén,10035020,No,No,No,No,No,4,No,No,4
CATAMARCA,Belén,Hualfín,10035070,No,No,No,No,No,1,No,No,1
CATAMARCA,Belén,Londres,10035110,No,No,No,No,No,1,No,No,1
CATAMARCA,Belén,El Durazno,10035050,No,No,No,No,No,1,No,No,1
CATAMARCA,Belén,Las Juntas,10035100,No,No,No,No,No,No,No,5,5
CATAMARCA,Belén,Puerta de San José,10035140,No,No,No,No,No,1,No,No,1
CATAMARCA,Capayán,Capayán,10042030,No,No,No,No,No,1,No,No,1
CATAMARCA,Capayán,Chumbicha,10042040,150,No,No,5,No,1,No,474,630
CATAMARCA,Capayán,Colonia del Valle,10042050,No,No,No,No,No,1,No,No,1
CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,No,No,No,10,No,1,No,9,20
CATAMARCA,Capayán,Coneta,10042080,No,No,No,10,No,1,No,No,11
CATAMARCA,Capayán,Huillapima,10042100,No,No,No,5,No,2,No,9,16
CATAMARCA,Capayán,Miraflores,10042120,No,No,No,7,No,2,No,10,19
CATAMARCA,Capayán,San Martín,10042130,No,No,No,No,No,7,No,No,7
CATAMARCA,Capayán,Los Angeles,10042110,No,No,No,No,No,No,No,5,5
CATAMARCA,Capital,El Pantanillo,10049020,11,13,No,2,No,2,No,No,28
CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,8.238,10.473,1,38.963,No,1,No,14,57.690
CATAMARCA,El Alto,El Alto,10056010,No,No,No,No,No,1,No,28,29
CATAMARCA,El Alto,Tapso,10056050,No,No,No,No,No,1,No,No,1
CATAMARCA,La Paz,Icaño,10070070,No,No,No,No,No,1,No,No,1
CATAMARCA,La Paz,Recreo,10070140,183,9,No,1.619,No,1,No,5,1.817
CATAMARCA,La Paz,San Antonio,10070150,No,No,No,No,No,No,No,26,26
CATAMARCA,La Paz,Quirós,10070120,No,No,No,No,No,No,No,27,27
CATAMARCA,Paclín,La Merced,10077050,72,No,No,No,No,4,No,5,81
CATAMARCA,Paclín,La Viña,10077060,No,No,No,No,No,No,No,10,10
CATAMARCA,Paclín,Las Lajas,10077070,No,No,No,No,No,1,No,No,1
CATAMARCA,Paclín,San Antonio,10077100,No,No,No,No,No,1,No,7,8
CATAMARCA,Pomán,Mutquin,10084060,No,No,No,No,No,1,No,No,1
CATAMARCA,Pomán,Pomán,10084070,No,No,No,No,No,2,No,No,2
CATAMARCA,Pomán,San Miguel,10084090,No,No,No,No,No,No,No,7,7
CATAMARCA,Pomán,Saujil,10084100,No,No,No,No,No,1,No,169,170
CATAMARCA,Pomán,Siján,10084110,No,No,No,No,No,1,No,No,1
CATAMARCA,Pomán,Colpes,10084030,No,No,No,No,No,No,No,16,16
CATAMARCA,Santa María,La Loma,10091100,No,No,No,No,No,1,No,No,1
CATAMARCA,Santa María,San José,10091140,No,No,No,No,No,1,No,No,1
CATAMARCA,Santa María,Santa María,10091150,No,No,No,No,2.151,1,No,No,2.152
CATAMARCA,Santa Rosa,Alijilán,10098010,No,No,No,No,No,2,No,No,2
CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,No,No,No,No,No,1,No,No,1
CATAMARCA,Santa Rosa,Lavalle,10098040,No,No,No,No,No,1,No,No,1
CATAMARCA,Santa Rosa,Los Altos,10098050,No,No,No,No,No,1,No,6,7
CATAMARCA,Tinogasta,Fiambalá,10105110,No,No,No,8,No,2,No,7,17
CATAMARCA,Tinogasta,Tinogasta,10105180,510,No,No,1.828,No,2,No,No,2.340
CATAMARCA,Valle Viejo,El Portezuelo,10112010,No,No,No,No,No,6,No,No,6
CATAMARCA,Valle Viejo,San Isidro,10112040,No,No,No,2.457,No,No,No,5,2.462
CATAMARCA,Valle Viejo,Santa Rosa,10112030,No,No,No,759,No,No,No,5,764
CATAMARCA,Valle Viejo,Villa Dolores,10112030,No,No,No,103,No,No,No,5,108
CATAMARCA,Valle Viejo,Sumalao,10112030,No,No,No,1,No,No,No,5,6
CATAMARCA,Valle Viejo,Polcos,10112030,No,No,No,213,No,No,No,No,213
CATAMARCA,Valle Viejo,Pozo Del Mistol,10112030,No,No,No,18,No,No,No,No,18
CATAMARCA,Valle Viejo,El Bañado,10112030,No,No,No,7,No,No,No,No,7
CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,No,No,No,4,No,No,No,No,4
CATAMARCA,Fray Mamerto Esquiú,San José,10063040,No,No,No,1,No,No,No,No,1
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,No,No,No,No,No,1,No,No,1
CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,No,No,No,No,No,1,No,No,1
CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,No,No,No,26,No,No,No,No,26
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,No,No,No,No,No,No,No,5,5
CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,No,No,No,No,No,No,No,5,5
CHACO,12 de Octubre,Gancedo,22036010,No,No,No,26,No,2,No,76,104
CHACO,12 de Octubre,General Pinedo,22036030,195,No,No,472,No,2,No,No,669
CHACO,1º de Mayo,Colonia Benítez,22126020,153,No,No,11,No,1,No,2,167
CHACO,1º de Mayo,Margarita Belén,22126030,382,No,No,180,No,No,No,77,639
CHACO,2 de Abril,Hermoso Campo,22039010,No,28,No,175,No,1,No,No,204
CHACO,2 de Abril,Itín,22039020,No,No,No,30,478,No,No,No,508
CHACO,25 de Mayo,Colonia Aborigen,22168010,No,No,No,No,No,No,No,46,46
CHACO,25 de Mayo,Machagai,22168020,369,311,No,45,No,No,No,269,994
CHACO,9 de Julio,Las Breñas,22105010,1.293,No,No,74,No,1,No,No,1.368
CHACO,Almirante Brown,Concepción del Bermejo,22007010,No,No,No,373,No,2,No,230,605
CHACO,Almirante Brown,Los Frentones,22007020,No,No,No,344,No,1,No,No,345
CHACO,Almirante Brown,Pampa del Infierno,22007030,No,No,No,1.375,No,6,No,65,1.446
CHACO,Almirante Brown,Taco Pozo,22007050,No,No,No,332,No,3,No,No,335
CHACO,Bermejo,General Vedia,22014010,153,No,No,30,No,1,No,205,389
CHACO,Bermejo,Isla del Cerrito,22014020,No,No,No,No,No,1,No,No,1
CHACO,Bermejo,La Leonesa,22014030,556,No,No,No,No,No,No,228,784
CHACO,Bermejo,Las Palmas,22014040,No,No,No,46,No,1,No,306,353
CHACO,Bermejo,Puerto Bermejo Nuevo,22014050,No,No,No,14,No,No,No,51,65
CHACO,Bermejo,Puerto Eva Perón,22014070,No,No,No,15,No,1,No,41,57
CHACO,Chacabuco,Charata,22028010,1.924,No,No,1.186,No,2,No,230,3.342
CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,22021010,3.559,112,No,5.972,24,2,No,116,9.785
CHACO,Fray Justo Santa María De Oro,Chorotis,22043010,No,No,No,No,25,No,No,No,25
CHACO,Fray Justo Santa María De Oro,OTROS,Sin Datos,No,No,No,No,60,No,No,No,60
CHACO,Fray Justo Santa María De Oro,Santa Sylvina,22043020,No,32,No,No,950,1,No,No,983
CHACO,General Belgrano,Corzuela,22049010,161,No,No,48,No,1,No,28,238
CHACO,General Donovan,La Escondida,22056010,51,209,No,189,No,2,No,No,451
CHACO,General Donovan,La Verde,22056020,14,27,No,39,305,2,No,No,387
CHACO,General Donovan,Lapachito,22056030,1,27,No,61,No,No,No,No,89
CHACO,General Donovan,Makallé,22056040,38,370,No,No,No,1,No,No,409
CHACO,General Güemes,El Espinillo,22063010,No,No,No,No,No,1,No,No,1
CHACO,General Güemes,El Sauzal,22063020,No,No,No,No,No,1,No,62,63
CHACO,General Güemes,El Sauzalito,22063030,No,No,No,No,No,1,No,No,1
CHACO,General Güemes,Fortín Lavalle,22063040,No,No,No,No,No,No,No,36,36
CHACO,General Güemes,Fuerte Esperanza,22063050,No,No,No,8,No,1,No,No,9
CHACO,General Güemes,Juan José Castelli,22063060,599,No,No,294,No,No,No,690,1.583
CHACO,General Güemes,Miraflores,22063070,No,No,No,No,No,No,No,630,630
CHACO,General Güemes,Nueva Pompeya,22063080,No,No,No,1,No,3,No,308,312
CHACO,General Güemes,Villa Río Bermejito,22063100,4,No,No,194,No,2,No,222,422
CHACO,General Güemes,Wichi,22063110,No,No,No,No,No,1,No,91,92
CHACO,Independencia,Avia Terai,22070010,85,No,No,42,No,1,No,No,128
CHACO,Independencia,Campo Largo,22070020,125,No,No,482,3,No,No,No,610
CHACO,Libertad,Laguna Blanca,22077030,No,No,No,No,No,2,No,No,2
CHACO,Libertad,Puerto Tirol,22077040,541,1,No,114,No,No,No,163,819
CHACO,Libertador General San Martín,Ciervo Petiso,22084010,No,No,No,No,No,1,No,97,98
CHACO,Libertador General San Martín,General José de San Martín,22084020,511,1.130,No,5.083,No,No,No,450,7.174
CHACO,Libertador General San Martín,La Eduvigis,22084030,No,No,No,No,No,1,No,No,1
CHACO,Libertador General San Martín,Laguna Limpia,22084040,No,No,No,No,No,No,No,32,32
CHACO,Libertador General San Martín,Pampa Almirón,22084050,No,No,No,26,No,No,No,55,81
CHACO,Libertador General San Martín,Pampa del Indio,22084060,No,No,No,25,No,2,No,757,784
CHACO,Libertador General San Martín,Presidencia Roca,22084070,No,No,No,13,No,2,No,196,211
CHACO,Maipú,Tres Isletas,22091010,461,No,No,No,No,No,No,77,538
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,122,73,No,264,No,1,No,516,976
CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,No,No,No,37,No,1,No,No,38
CHACO,Mayor Luis J. Fontana,Villa Angela,22098030,2.756,1,No,852,No,No,No,406,4.015
CHACO,O Higgins,La Clotilde,22112010,No,32,No,78,116,1,No,No,227
CHACO,O Higgins,La Tigra,22112020,1,No,No,No,252,1,No,No,254
CHACO,O Higgins,San Bernardo,22112030,147,No,No,14,38,3,No,No,202
CHACO,OTROS,OTROS,Sin Datos,No,No,No,No,24,No,No,No,24
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010,216,327,No,58,No,No,No,No,601
CHACO,Quitilipi,Quitilipi,22133010,884,No,No,69,No,No,No,123,1.076
CHACO,Quitilipi,Villa El Palmar,22133020,No,No,No,No,No,No,No,43,43
CHACO,San Fernando,Barranqueras,22140010,115,3.865,No,146,No,No,No,15,4.141
CHACO,San Fernando,Basail,22140020,98,67,No,No,No,1,No,57,223
CHACO,San Fernando,Fontana,22140040,No,No,No,110,No,No,No,70,180
CHACO,San Fernando,OTROS,Sin Datos,No,No,No,No,No,3,No,No,3
CHACO,San Fernando,Puerto Vilelas,22140050,No,No,No,9,No,1,No,No,10
CHACO,San Fernando,Resistencia,22140060,11.650,55.188,5,25.299,2,6,No,223,92.373
CHACO,San Lorenzo,Samuhú,22147010,No,No,No,No,No,1,No,No,1
CHACO,San Lorenzo,Villa Berthet,22147020,No,No,No,32,No,1,No,755,788
CHACO,Sargento Cabral,Capitán Solari,22154010,No,No,No,81,No,No,No,No,81
CHACO,Sargento Cabral,Colonia Elisa,22154020,No,No,No,No,No,2,No,No,2
CHACO,Sargento Cabral,Colonias Unidas,22154030,No,No,No,250,No,No,No,15,265
CHACO,Sargento Cabral,Las Garcitas,22154050,No,No,No,No,No,1,No,119,120
CHACO,Tapenagá,Charadai,22161010,No,No,No,27,No,1,No,No,28
CHUBUT,Biedma,Arroyo Verde,26007010,No,No,No,No,No,2,No,No,2
CHUBUT,Biedma,Puerto Madryn,26007020,3.648,24.433,200,3.781,5.283,9,No,2.762,40.116
CHUBUT,Biedma,Puerto Pirámide,26007030,No,No,No,No,No,1,No,37,38
CHUBUT,Biedma,Quinta El Mirador,26007040,No,No,No,No,No,No,No,22,22
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,No,No,No,No,No,No,No,127,127
CHUBUT,Cushamen,Cholila,26014020,No,No,1,No,No,1,No,No,2
CHUBUT,Cushamen,El Hoyo,26014040,216,No,No,319,No,No,No,709,1.244
CHUBUT,Cushamen,Epuyén,26014060,1.184,No,No,No,No,No,No,No,1.184
CHUBUT,Cushamen,Gualjaina,26014070,No,No,No,No,No,2,No,No,2
CHUBUT,Cushamen,Lago Puelo,26014090,315,No,No,59,No,No,No,723,1.097
CHUBUT,Cushamen,Leleque,26014100,No,No,No,No,No,2,No,No,2
CHUBUT,Cushamen,El Maitén,26014050,No,No,No,No,No,No,No,1,1
CHUBUT,Escalante,Comodoro Rivadavia,26021030,19.602,12.473,248,1.739,336,37,No,16.749,51.184
CHUBUT,Escalante,Diadema Argentina,26021040,No,No,No,No,No,No,No,311,311
CHUBUT,Escalante,Rada Tilly,26021050,1.143,1,34,1.206,54,No,No,443,2.881
CHUBUT,Escalante,Acceso Norte,26021020,No,No,No,No,No,1,No,No,1
CHUBUT,Escalante,Barrio Caleta Cordova,26021020,No,No,No,No,No,1,No,No,1
CHUBUT,Florentino Ameghino,Camarones,26028010,No,No,No,No,No,1,No,208,209
CHUBUT,Florentino Ameghino,Garayalde,26028020,No,No,No,No,No,No,No,3,3
CHUBUT,Futaleufú,Corcovado,26035020,No,No,1,No,No,5,No,No,6
CHUBUT,Futaleufú,Esquel,26035030,7.142,1.522,40,No,No,2,No,4.527,13.233
CHUBUT,Futaleufú,Los Cipreses,26035050,No,No,No,No,No,1,No,No,1
CHUBUT,Futaleufú,Trevelín,26035060,472,No,19,No,18,1,No,562,1.072
CHUBUT,Futaleufú,Villa Futalaufquen,26035070,No,No,No,No,No,5,No,No,5
CHUBUT,Futaleufú,Aldea Escolar,26035010,No,No,No,No,No,1,No,No,1
CHUBUT,Futaleufú,Lago Rosario,26035040,No,No,No,No,No,2,No,No,2
CHUBUT,Gaiman,28 de Julio,26042040,No,No,No,12,1,1,No,No,14
CHUBUT,Gaiman,Dolavon,26042020,No,No,3,55,50,1,No,No,109
CHUBUT,Gaiman,Gaiman,26042030,223,No,15,90,658,2,No,No,988
CHUBUT,Gaiman,OTROS,Sin Datos,No,No,No,No,No,14,No,No,14
CHUBUT,Gastre,Blancuntre,26049010,No,No,No,No,No,1,No,No,1
CHUBUT,Gastre,El Escorial,26049020,No,No,No,No,No,1,No,No,1
CHUBUT,Gastre,Lagunita Salada,26049040,No,No,No,No,No,1,No,7,8
CHUBUT,Gastre,Yala Laubat,26049050,No,No,No,No,No,1,No,No,1
CHUBUT,Gastre,Gastre,26049030,No,No,No,No,No,No,No,103,103
CHUBUT,Languiñeo,Aldea Epulef,26056010,No,No,No,No,No,1,No,5,6
CHUBUT,Languiñeo,Carrenleufú,26056020,No,No,No,No,No,1,No,No,1
CHUBUT,Languiñeo,Colan Conhue,26056030,No,No,No,No,No,1,No,4,5
CHUBUT,Languiñeo,Paso del Sapo,26056040,No,No,No,No,No,2,No,30,32
CHUBUT,Languiñeo,Tecka,26056050,No,No,No,No,No,1,No,No,1
CHUBUT,Mártires,El Mirasol,26063010,No,No,No,No,No,1,No,No,1
CHUBUT,Mártires,Las Plumas,26063020,No,No,No,No,No,1,No,No,1
CHUBUT,Paso de Indios,Cerro Cóndor,26070010,No,1,No,No,No,1,No,No,2
CHUBUT,Paso de Indios,Los Altares,26070020,No,No,No,No,No,1,No,1,2
CHUBUT,Paso de Indios,Paso de Indios,26070030,No,No,No,No,No,1,No,No,1
CHUBUT,Rawson,Playa Unión,26077020,675,209,12,101,1,No,No,421,1.419
CHUBUT,Rawson,Rawson,26077030,1.747,8.805,41,774,300,1,No,343,12.011
CHUBUT,Rawson,Trelew,26077040,6.877,23.051,287,722,1.094,3,No,1.130,33.164
CHUBUT,Rawson,Playa Magagna,26077010,No,1.700,No,No,No,No,No,3,1.703
CHUBUT,Río Senguer,Aldea Apeleg,26084010,No,No,No,No,No,1,No,1,2
CHUBUT,Río Senguer,Aldea Beleiro,26084020,No,No,No,No,No,2,No,No,2
CHUBUT,Río Senguer,Alto Río Senguer,26084030,No,No,1,No,No,2,No,1,4
CHUBUT,Río Senguer,Doctor Ricardo Rojas,26084040,No,No,No,No,No,1,No,No,1
CHUBUT,Río Senguer,Facundo,26084050,No,No,No,No,No,1,No,41,42
CHUBUT,Río Senguer,Lago Blanco,26084060,No,No,No,No,No,1,No,No,1
CHUBUT,Río Senguer,Río Mayo,26084070,No,No,No,4,No,2,No,180,186
CHUBUT,Sarmiento,Buen Pasto,26091010,No,No,No,No,No,1,No,No,1
CHUBUT,Sarmiento,SARMIENTO,26091020,2.133,1,No,712,No,1,No,277,3.124
CHUBUT,Tehuelches,Gobernador Costa,26098020,No,No,1,No,No,No,No,No,1
CHUBUT,Tehuelches,José de San Martín,26098030,No,No,No,No,No,1,No,No,1
CHUBUT,Tehuelches,Río Pico,26098040,No,No,1,No,No,2,No,No,3
CHUBUT,Telsen,Gan Gan,26105010,No,No,No,No,1,1,No,11,13
CHUBUT,Telsen,Telsen,26105020,No,16,No,No,No,4,No,42,62
CORDOBA,Calamuchita,Amboy,14007010,No,No,No,No,No,No,No,19,19
CORDOBA,Calamuchita,Cañada del Sauce,14007030,1,No,No,No,No,No,No,No,1
CORDOBA,Calamuchita,Capilla Vieja,14007040,No,No,No,No,No,No,No,5,5
CORDOBA,Calamuchita,El Corcovado - El Torreón,14007050,52,No,No,No,No,No,No,30,82
CORDOBA,Calamuchita,Embalse,14007060,No,No,No,1.467,No,1,No,1.877,3.345
CORDOBA,Calamuchita,La Cruz,14007070,13,No,No,No,No,No,No,362,375
CORDOBA,Calamuchita,La Cumbrecita,14007080,No,No,No,No,No,No,No,250,250
CORDOBA,Calamuchita,Las Bajadas,14007090,No,No,No,No,No,No,No,16,16
CORDOBA,Calamuchita,Los Cóndores,14007110,423,No,No,No,No,1,No,507,931
CORDOBA,Calamuchita,Los Molinos,14007120,No,No,No,No,No,No,No,42,42
CORDOBA,Calamuchita,Los Reartes,14007130,30,No,No,342,No,1,No,375,748
CORDOBA,Calamuchita,Parque Calmayo,14007160,No,No,No,No,No,No,No,36,36
CORDOBA,Calamuchita,San Agustín,14007180,110,No,No,No,No,No,No,1,111
CORDOBA,Calamuchita,San Ignacio (Loteo San Javier),14007190,No,No,No,No,No,No,No,11,11
CORDOBA,Calamuchita,Santa Rosa de Calamuchita,14007210,1.355,815,No,119,No,No,No,3.079,5.368
CORDOBA,Calamuchita,Villa Alpina,14007240,No,No,No,No,No,No,No,2,2
CORDOBA,Calamuchita,Villa Amancay,14007250,No,No,No,No,No,No,No,39,39
CORDOBA,Calamuchita,Villa Berna,14007260,31,No,No,No,No,No,No,6,37
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (1a. Sección),14007270,No,No,No,No,No,No,No,219,219
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (3a. Sección),14007170,No,No,No,No,No,No,No,8,8
CORDOBA,Calamuchita,Villa del Dique,14007290,555,No,No,256,128,No,No,866,1.805
CORDOBA,Calamuchita,Villa General Belgrano,14007310,No,31,No,No,No,1,No,1.129,1.161
CORDOBA,Calamuchita,Villa Quillinzo,14007330,No,No,No,No,No,No,No,84,84
CORDOBA,Calamuchita,Villa Rumipal,14007340,No,No,No,43,No,No,No,937,980
CORDOBA,Calamuchita,Villa San Miguel,14007170,No,No,No,No,No,No,No,5,5
CORDOBA,Calamuchita,Villa Yacanto,14007360,No,No,No,No,No,No,No,7,7
CORDOBA,Calamuchita,Las Caleras,14007100,No,No,No,No,No,No,No,7,7
CORDOBA,Calamuchita,San Ignacio (Loteo Vélez Crespo),14007170,No,No,No,No,No,No,No,9,9
CORDOBA,Calamuchita,Segunda Usina,14007220,No,No,No,No,No,No,No,61,61
CORDOBA,Calamuchita,Río de los Sauces,14007170,No,No,No,No,No,No,No,1,1
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes,14007170,No,400,No,No,No,No,No,No,400
CORDOBA,Capital,Córdoba,14014010,58.016,222.667,44,208.950,1.218,11,No,4.276,495.182
CORDOBA,Capital,OTROS,Sin Datos,No,No,No,No,No,No,No,695,695
CORDOBA,Colón,Agua de Oro,14021010,370,No,No,65,No,No,No,65,500
CORDOBA,Colón,Ascochinga,14021020,124,No,No,1,No,No,No,No,125
CORDOBA,Colón,Colonia Caroya,14021050,1.132,505,No,6.155,No,No,No,31,7.823
CORDOBA,Colón,El Manzano,14021110,125,No,No,No,No,No,No,20,145
CORDOBA,Colón,General Paz,14021130,167,No,No,No,No,No,No,No,167
CORDOBA,Colón,Jesús María,14021140,1.133,3.877,No,6.526,No,No,No,15,11.551
CORDOBA,Colón,La Calera,14021150,1.197,6.525,No,1.352,316,1,No,496,9.887
CORDOBA,Colón,La Granja,14021160,437,No,No,1,No,No,No,26,464
CORDOBA,Colón,Los Molles,14021180,No,No,No,No,No,2,No,No,2
CORDOBA,Colón,Malvinas Argentinas,14021190,1.122,No,No,291,No,No,No,229,1.642
CORDOBA,Colón,Mendiolaza,14021200,821,2.606,No,841,2,No,No,195,4.465
CORDOBA,Colón,OTROS,Sin Datos,No,No,No,No,No,No,No,287,287
CORDOBA,Colón,Pajas Blancas,14021220,No,No,No,No,No,No,No,19,19
CORDOBA,Colón,Río Ceballos,14021230,1.049,5.510,No,4,1,2,No,444,7.010
CORDOBA,Colón,Saldán,14021240,69,4.193,No,73,No,No,No,270,4.605
CORDOBA,Colón,Salsipuedes,14021250,891,467,No,9,No,No,No,387,1.754
